OpenCart ID,Product Name,Base Price (INR),Special Price (INR),Discount %,Price in Paise
101,"Pigeon 1.5 Litre Stainless Steel Hot Electric Kettle (Silver)",1012.71,422.88,58,101271
102,"Pigeon Hot Stainless Steel Electric Kettle,1.7 Litre,with 1500 Watt,Silver,Large",1266.94,677.11,47,126694
103,"Pigeon Kessel Multipurpose Kettle 1.2 litres with Stainless Steel Body,600 Watt (Black &amp; Silver)",1436.44,966.1,33,143644
104,"Pigeon Angular Holder Shears Kitchen Knifes 6 Piece Set with Wooden Block (Stainless Steel)",588.98,347.45,41,58898
105,"Pigeon Joy Mop Bucket 360 Degree Cleaning with Refills (Lime Green)",1100.84,838.98,24,110084
106,"Pigeon Clean Easy Deluxe Spin Mop with Big Wheels and Stainless Steel Wringer (Aqua Green,2 Refills)",2117.79,1161.01,45,211779
107,"Pigeon Long Lasting Cast Iron Flat Tawa, Non-Stick, Heat Distribution and Retains Heat for Long That Compatible with All Heating Source - Black",1558.03,848.21,46,155803
108,"Pigeon Titanium Hard Anodised Aluminium Concave Tawa, 260mm, Black",1950.89,624.1,68,195089
109,"Pigeon Non-Stick Aluminium Multi Tawa (31cm, Black)",1379.46,933.03,32,137946
110,"Pigeon Aluminium Non-Stick 4mm Concave Tawa, 26cm, Black",1022.32,847.32,17,102232
111,"Pigeon Aluminium Non-Stick Concave Black Tawa, 28cm",1111.6,936.6,16,111160
112,"Pigeon Aluminum Non-Stick Flat Tawa, 25cm, Black",977.67,802.67,18,97767
113,"Pigeon Healthifry Digital AirFryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",6775.42,2881.35,57,677542
114,"Pigeon Aluminium Non-Stick Forged Flat Tawa 280, Black, 26 cm",1111.6,1025.89,8,111160
115,"Pigeon Non-Stick Aluminium Flat Tawa (31cm, Black)",1379.46,802.67,42,137946
116,"Pigeon Prism Triply Stainless Steel Non Stick Flat Tawa 280mm Silver",1959.82,973.21,50,195982
117,"Pigeon Aluminium Storm Tawa 280 IB, Red",1156.25,857.14,26,115625
118,"Pigeon Wonder cast Aluminium Flat Tawa (Black, 27cm)",1111.6,979.46,12,111160
119,"Pigeon Non-Stick Fry Pan-200",1061.6,883.03,17,106160
120,"Pigeon Non-stick Fry Pan without Lid 220 mm 2.2 L capacity  (Aluminium, Non-stick)",933.03,785.71,16,93303
121,"Pigeon Non Stick Fry Pan without Lid 240 mm Fry Pan 2.4 L capacity  (Aluminium, Non-stick)",1111.6,925.89,17,111160
122,"Pigeon 260 Aluminium Storm Fry Pan (Black)",1245.53,870.53,30,124553
123,"Pigeon Aluminium Non-Stick Fry Pan, 28cm- Black",1343.75,963.39,28,134375
124,"Frontech FT-1603 Wireless Keyboard and Optical Wired Mouse Combo USB Receiver (Black)",1101.69,635.59,42,110169
125,"Frontech FT-1672 Wired USB Desktop Keyboard  (Black)",317.79,278.81,12,31779
126,"Frontech FT-1692 Wired Keyboard and Optical Wired Mouse Combo USB Receiver (Black)",487.28,405.93,17,48728
127,"Frontech FT-1602 Wireless Desktop Keyboard (Black)",1271.18,719.49,43,127118
128,"Frontech MS-0013 Wired Optical Mouse  (USB 2.0, Black)",190.67,75.42,60,19067
129,"Frontech MS-0015 Wireless Optical Mouse  (2.4GHz Wireless, Black)",402.54,168.64,58,40254
130,"Frontech MS-0024 Wireless Optical Mouse  (2.4GHz Wireless, Black)",508.47,202.54,60,50847
131,"Pigeon 2 Slice Auto Pop up Toaster A Smart Bread Toaster for Your Home (750 Watt) (Black)",1605.93,931.35,42,160593
132,"Pigeon 2 Slice Auto Pop up Toaster A Smart Bread Toaster for Your Home (750 Watt) (White)",1605.93,931.35,42,160593
133,"Pigeon Egnite Plus Bread Sandwich Maker with Aluminium Nonstick Coated Fixed Plates (Toaster)",1266.94,805.08,36,126694
134,"Nelkon Stainless Steel Cutlery Spoon Set Stand Holder Stainless Steel Cutlery Set",1150.89,716.67,38,115089
135,"Pigeon Non Stick with SS Lid 300 mm Kadai 30 cm diameter with Lid 3 L capacity  (Aluminium, Non-stick)",1870.53,1357.14,27,187053
136,"Pigeon Non Stick Kadai with Lid 200 mm Kadhai 20 cm diameter with Lid 2 L capacity  (Aluminium,Non-stick)",1602.67,910.71,43,160267
137,"Pigeon Star Mixer Grinder 550 Mixer Grinder (3 Jars, White, Purple)",2016.94,1621.24,20,201694
138,"Pigeon Egnite 750-Watt Mixer Grinder with 3 Stainless Steel Jars for dry grinding, wet grinding and making chutney",3088.98,1211.86,61,308898
139,"Pigeon Femme 750 Mixer Grinder (3 Jars, Red)",4911.01,2795.76,43,491101
140,"Pigeon Especial Mixer Grinder, 750W, 3 Jars, Grey",4661.01,2533.89,46,466101
141,"Pigeon Classic Pro Mixer Grinder 550W Mixer Grinder (3 Jars, Pink, White)",2877.11,1431.06,50,287711
142,"Pigeon Blossom Electric Rice Cooker 1.8 Litre with Stainless Steel lid and 2 Aluminium Cooking Pans, 700 Watt, White",2029.66,1736.44,14,202966
143,"Pigeon Ayush 3 Burner High Powered Brass Gas Stove Cooktop with Glass Top and Stainless Steel Body (Black, Standard)",5507.62,3117.79,43,550762
144,"Pigeon Elite Stainless Steel Triply Tope 18 cm, Gas Stove and Induction Compatible - Silver",1424.1,915.17,36,142410
145,"Pigeon Elite Stainless Steel Triply Tope 20 cm, Gas Stove and Induction Compatible - Silver",1691.96,922.18,45,169196
146,"Pigeon Elite Stainless Steel Triply Tope 22 cm, Gas Stove and Induction Compatible - Silver",1781.25,970.93,45,178125
147,"Pigeon Elite Stainless Steel Triply Tope 14 cm, Gas Stove and Induction Compatible - Silver",1066.96,570.53,47,106696
148,"Pigeon Elite Stainless Steel Triply Tope 16 cm, Gas Stove and Induction Compatible - Silver",1245.53,678.85,45,124553
149,"Pigeon Elite Stainless Steel Triply Sauce Pan 16 cm, Gas Stove and Induction Compatible - Silver",1781.25,970.88,45,178125
150,"Pigeon Elite Stainless Steel Triply Sauce Pan 18 cm, Gas Stove and Induction Compatible - Silver",2049.1,1116.07,46,204910
151,"Paras Plastic Pet Jar, 1.25 Litre, 2-Piece, Silver",580.5,144.06,75,58050
152,"Pigeon Acer Plus Induction Cooktop (Black, Touch Panel)",3046.61,2033.05,33,304661
153,"Pigeon Copper Coil Rapido Cute Induction Cooktop (Black)",2707.62,1101.69,59,270762
154,"Pigeon Eazy Induction Cooktop (Black, Push Button)",2538.13,1651.69,35,253813
155,"Pigeon Radiant Infrared Cooktop 2000 Watt, Compatible for all cooking utensils, Black, Medium",4233.05,2838.98,33,423305
156,"Pigeon Rapido Sleek Induction Cooktop (Multicolor, Touch Panel)",3724.57,2347.45,37,372457
157,"Pigeon Sleek 3 Burner Ultra Slim Gas Stove with Glass Top, Manual, Black",7622.88,4135.59,46,762288
158,"Pigeon Stainless Steel Ayush Glasstop 2 Burner Gas Stove (Black)",3812.71,2500,34,381271
160,"Pigeon Venus 3 burner Glasstop LPG",6355.08,3446.98,46,635508
161,"Pigeon Stainless Steel 123 LPG Gas Stove, (3 Burner, Silver, Manual Ignition)",5083.89,3185.59,37,508389
162,"Pigeon Favourite Maxima Stainless Steel 2 Burner Gas Stove, Manual Ignition, standard (Silver)",2880.5,1864.4,35,288050
163,"Nelkon Pack of 6 Stainless Steel 6PCS Buffet Set Dinner Set (Steel)",758.92,382.65,50,75892
164,"Secureye SMPS 12V 5 A Power Supply for 4Channel CCTV",1355.08,389.83,71,135508
165,"Secureye SMPS 12V 10 A Power Supply for 8Channel CCTV",2117.79,432,80,211779
166,"Secureye S-AC30-IC Biometric Device",2538.13,1050.84,59,253813
167,"Secureye S-B251CB Time &amp; Attendance  (Password, ID, Card, Fingerprint)",16949.15,4406.77,74,1694915
168,"Secureye S-B8CB Time &amp; Attendance  (Fingerprint, Card, ID)",7627.11,2728.38,64,762711
169,"Frontech 10000MAH Polymer Battery Power Bank - PB-017, Black",1271.18,474.57,63,127118
170,"Frontech 10000 mAh Lithium Polymer Power Bank PB-018 with Fast Charging, Black",1271.18,677.12,47,127118
171,"Frontech 10000MAH Polymer Battery Power Bank - PB-019, Black",1271.18,592.37,53,127118
172,"Frontech Multimedia Speaker SW-0036",593.22,194.91,67,59322
173,"Frontech SW -0037 USB Powered 3 W Laptop/Desktop Speaker (SKY BLUE,White,2.0 Channel)",593.22,295.76,50,59322
174,"Frontech SW -0039 3 Watt Mono Channel USB Speaker (Black)",593.22,177.96,70,59322
175,"Frontech SW-0081 3 W Auxiliary Laptop/Desktop Speaker Light Blue, Mono Channel",508.47,237.28,53,50847
176,"Frontech SW-0009 2.5 W Bluetooth Laptop/Desktop Speaker  (Blue, Mono Channel)",847.45,478.8,44,84745
177,"Frontech Webcam E-Cam FT-2252 with Built-in Mic ",1016.94,440.67,57,101694
178,"Secureye SD-2MPIR 2MP Dome CCTV Camera",4237.28,957.62,77,423728
179,"Secureye 2MP Bullet IR Camera SIP-2HD-W20E / S-IP-W1",12711.86,2251.69,82,1271186
180,"Pigeon Carlo Induction Base Aluminium Cookware Gift Set, 4-Pieces, Red (Tawa,Fry Pan,Kadai,Glass Lid)",2852.67,1598.21,44,285267
181,"Pigeon Special Stainless Steel Gift Set with Kadai, Fry Pan and Saucepan Induction Bottom Cookware Set  (Stainless Steel, 3 - Piece)",1736.6,1043.21,40,173660
182,"Test",423.72,,0,42372
183,"Frontech FT-1987 15 Inch Square LED 1024 x 768 Pixel Monitor, Black (VGA)",2881.35,2279.66,21,288135
184,"Secureye LED Monitor 48.26 CM (19 Inch) Wide Screen HDMI and VGA",6778.81,5400,20,677881
185,"Frontech USB WiFi Dongle FT-0828",423.72,186.44,56,42372
186,"Frontech Jil 0821 4 Port USB Hub",211.86,118.64,44,21186
187,"Frontech Jil-0807 USB to LAN Ethernet Adapter Card",296.61,201.08,32,29661
188,"Frontech USB Sound Card JIL 0815",190.67,152.54,20,19067
189,"Frontech Laptop Cooling Pad CP-0001",2542.37,388.8,85,254237
190,"Frontech Laptop Cooling Pad CP-0002",1101.69,491.52,55,110169
191,"Frontech Laptop Cooling Pad CP-0003",847.45,423.72,50,84745
192,"Frontech FT-0825 Support LGA 775 Socket CPU Cooler (Black)",507.62,355.08,30,50762
193,"Frontech FT-0841 Support LGA 1155 Socket Cooler  (Black)",338.98,200.37,41,33898
194,"Frontech JIL-2505 1 KVA UPS (Black)",4661.01,3720.33,20,466101
195,"Frontech JIL-2526 600 VA UPS (Black)",6660.16,3590.2,46,666016
197,"Pigeon Croma Azure Stainless Steel Double Walled Leak Proof Thermos Flask 600 ml (Teal Blue)",800.84,564.7,29,80084
198,"Pigeon Croma Coral Stainless Steel Double Walled Leak Proof Thermos Flask 600 ml (Orange)",800.84,564.7,29,80084
199,"Pigeon Helios 1 hrs Lantern Emergency Light  (White, Blue)",1080.5,716.1,34,108050
200,"Pigeon Electric Oven 20 Liters OTG with Grill and Rotisserie, Oven Toaster and Grill for Grilling and Baking Cakes (Grey)",6436.44,3898.3,39,643644
201,"Pigeon Oven Toaster Grill 9 Liters OTG without Rotisserie for Oven Toaster and Grill for grilling and baking Cakes (Grey)",4025.42,1796.61,55,402542
202,"Pureit HUL RO+MF Water Purifier - 7L, White",10168.64,7533.89,26,1016864
203,"Pureit HUL Vital Plus Mineral RO+UV+MP 6 Stage,7L Wall mount Water Purifier with Filtra Power technology(Black)",21609.32,12287.28,43,2160932
204,"Secureye S-VDP20M Video Door Phone (Wireless Single Way)",10169.49,5400,47,1016949
205,"Secureye Set Of 100 RFID Cards For Time Attendance Or Access Control System Having RFID Time &amp; Attendance, Access Control  (Card)",1883.05,717.47,62,188305
206,"Secureye S-RG59-P3C CCTV 3+1 Copper Cable 90 Meter Bundle for in Surveillance/Security/CCTV Camera System",1694.06,1093.22,35,169406
207,"Secureye LAN Cable CAT6 305M ALLOY SC-S-A6-305M",6778.81,2736.44,60,677881
208,"Frontech KB-0012 Wired Keyboard Mouse Combo",487.28,338.13,31,48728
209,"Nelkon NonStick Appam Maker 12 Cups Healthy Cooking",758.92,266.96,65,75892
210,"Nelkon Swera 5 Ltr Induction Bottom Pressure Cooker &amp; Pressure Pan (Stainless Steel)",3147.32,1597.32,49,314732
211,"Paras Canister 401",401.78,133.03,67,40178
212,"Nelkon Stylo Stainless Steel Induction Pressure Cooker Silver 5 Litre",2696.42,1473.21,45,269642
213,"Pigeon Modern Cucina 5 Cups Coffee Maker (Black)",1860.16,983.05,47,186016
214,"Nelkon SS Induction SaucePan No.10",464.28,255.1,45,46428
215,"Nelkon SS Induction SaucePan No.09",428.57,231.18,46,42857
216,"Nelkon SS Induction SaucePan No.11",582.14,334.82,42,58214
217,"Nelkon SS Induction SaucePan No.12",669.64,414.54,38,66964
218,"Pigeon Elite Shine 2 Litre Tri-Ply Body Outer Lid Pressure Cooker Induction and Gas Stove Compatible (Stainless Steel, Silver)",2227.67,1473.21,34,222767
219,"Pigeon Elite Shine 3 Litre Tri-Ply Body Outer Lid Pressure Cooker Induction and Gas Stove Compatible (Stainless Steel, Silver)",2406.25,1329.46,45,240625
220,"Pigeon Elite Shine 5 Litre Tri-Ply Body Outer Lid Pressure Cooker Induction and Gas Stove Compatible (Stainless Steel, Silver)",2852.67,1959.82,31,285267
221,"Pigeon Tiffin Box Warm And Fresh Stainless Steel Insulated Pack of 2 (Pink)",673.72,584.74,13,67372
222,"Pigeon Tiffin Box Warm And Fresh Stainless Steel Insulated Pack of 2 (Green)",631.35,387.28,39,63135
223,"Blue Star Pristina UV Water Purifier (Black)",7542.37,2117.79,72,754237
224,"Frontech Multimedia Headphone HF-3443",847.45,507.62,40,84745
225,"Frontech Multimedia Headphone HF-3444",508.47,296.61,42,50847
226,"Frontech Multimedia Headphone HF-3445",677.96,338.13,50,67796
227,"Secureye S-B10CB Time &amp; Attendance (Fingerprint)",10169.49,4804.96,53,1016949
228,"Secureye S-SUB U Bracket EM Lock Silver,Polished Finish",639.83,244.91,62,63983
229,"Secureye iCam 300 Security Camera",4237.28,2049.15,52,423728
230,"Pigeon All in One Super Cooker Aluminium with Outer Lid Induction and Gas Stove Compatible 3 Litre Capacity for Healthy Cooking,Black",3075.89,1651.78,46,307589
231,"Pigeon All in One Super Cooker Aluminium with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking,Black",3566.96,1794.64,50,356696
232,"Pigeon Aluminium Pressure Pan Senior with Outer Lid,6-Litres,Silver",2450.89,1516.96,38,245089
233,"Pigeon Non-Stick Aluminium Kadai, 150 with SS Lid, Black",1156.25,732.14,37,115625
234,"Pigeon EVA Infrared Cooktop (Black, Touch Panel)",4233.05,2720.33,36,423305
235,"Pigeon Stainless Steel Pressure Cooker Combo with Induction Base, Outer Lid 2 liter and 3 liter",2941.96,1856.25,37,294196
236,"Pigeon Vita 4 PC Induction Base Non Stick Cookware Set, Red",2049.1,1204.46,41,204910
237,"Pigeon StakBox 0.5 Litre Set of 4 Storage for Kitchen, Red",422.88,228.81,46,42288
238,"Pigeon StakBox 0.5 Liter Set of 6 Storage for Kitchen,Red",550,295.76,46,55000
239,"Pigeon StakBox 1.1 Litre Set of 4 Storage for Kitchen, Blue",507.62,275.42,46,50762
240,"Pigeon StakBox 1.1 Litre Set of 6 Storage for Kitchen, Blue",677.11,364.4,46,67711
241,"Pigeon StakBox 1.7 Litre Set of 6 Storage for Kitchen, Blue",888.98,482.2,46,88898
242,"Pigeon StakBox Value Combi Set of 6 Storage for Kitchen, Red",1100.84,661.01,40,110084
243,"Paras Hot Meal 1000 Gold",250,118.64,53,25000
244,"Frontech Wireless Mouse, MS-0003",444.91,177.96,60,44491
245,"Pigeon Inox Pro 3 Ltr Induction Bottom Pressure Cooker (Stainless Steel)",2227.67,1535.71,31,222767
246,"Nelkon Non-Stick Duo Pack Mini Uttappa 200MM",709.82,240.17,66,70982
247,"Nelkon Prima 5 Ltr Pressure Cooker",1714.28,857.14,50,171428
248,"Nelkon Non-Stick Concave Tawa 250",526.78,311.6,41,52678
249,"Nelkon Non-Stick Dosa Tawa 255",526.78,320.53,39,52678
250,"Syska MaxAir 1200 mm Silent Operation 3 Blade Ceiling Fan (Brown,Pack of 1)",1694.06,1270.33,25,169406
251,"Syska MaxAir SFP 900 36 900 mm 3 Blade Ceiling Fan (Olive,Pack of 1)",1694.06,1270.33,25,169406
252,"Syska MaxAir SFP 900 36 900 mm 3 Blade Ceiling Fan (Brown,Pack of 1)",1694.06,1270.33,25,169406
253,"Syska MaxAir SFP 900 36 INCH 900 mm 3 Blade Ceiling Fan (White,Pack of 1)",1694.06,1270.33,25,169406
254,"Syska Ordain Supreme SFPF 16H 400mm High Speed 3 Blade Pedestal Fan",3219.49,2652.54,18,321949
255,"Syska SSK SQ2001 20W SLM 6500K Smart Tube Light",422.88,253.38,40,42288
256,"Syska T5 24W 6500K LED Tube Light Plastic Body (White,Pack of 1)",507.62,400,21,50762
257,"Syska 9W B22D Led Cool Day Light Bulb,1 Piece (Ssk-Srl-9W)",126.27,69.49,45,12627
258,"Syska 9W B22 6500K Cool Day Light Inverter Rechargeable Emergency Led Bulb Pack of 1",507.62,317.79,37,50762
259,"Syska 12 W Standard B22 LED Bulb",211.01,127.11,40,21101
260,"Syska 15 W Standard B22 LED Bulb",253.38,226.27,11,25338
261,"Maharaja Sleek 1000 W Dry Iron (White,Red)",796.61,599.15,25,79661
262,"Maharaja Jazz 1000 W Dry Iron (Cherry Red &amp; White)",796.61,507.62,36,79661
263,"Maharaja Classico DI-111 100 W Dry Iron",793,605.93,24,79300
264,"Maharaja MX-216 Turbo Prime Elite 750 Mixer Grinder (4 Jars, Black)",4660.16,2970.33,36,466016
265,"Maharaja MX-242 Duramaxx 750 Mixer Grinder",5592.37,3377.11,40,559237
266,"Maharaja Whiteline Mixtron Classic Mixer Grinder with 3 Jars 500W (Red &amp; Black)",3473.72,2322.03,33,347372
267,"Maharaja Whiteline Mixtron DLX Mixer Grinder with 3 jars - 750W (Lavender &amp; White)",4151.69,2490.67,40,415169
268,"Maharaja SleekK Dlx DI-130 1000 W Dry Iron (Pastle Violet &amp; White)",745.76,599.15,20,74576
269,"Maharaja Whiteline Arrow Deluxe Personal Air Cooler 50L,White,Grey,Standard",8134.74,5905.93,27,813474
270,"Maharaja Whiteline Warmist 25-Litre Water Heater (White)",10507.62,7796.61,26,1050762
271,"Maharaja Whiteline Fiesta Instant Water Heater,3 litre,Hi-grade Copper Element,Rust &amp; Shock proof ABS Body,Dual tone FIESTA WH-170",3939.83,2881.35,27,393983
272,"Maharaja Whiteline Warmist 15-Litre Water Heater",9321.18,6923.72,26,932118
273,"Maharaja Whiteline 25 L White and Blue Storage Water Geyser Cuatro 25",11144.06,8948.3,20,1114406
274,"Maharaja Whiteline 15 L White and Blue Storage Water Geyser Cuatro",9788.13,7860.16,20,978813
275,"Maharaja Whiteline Viva Plus Sandwich Maker,750W,White,Small (VIVA PLUS/SM-204)",1439.83,996.61,31,143983
276,"Maharaja Whiteline Frisco 800ml Electric Chopper,250W- EC-102 (White)",1694.06,1016.1,40,169406
277,"Maharaja Whiteline Turbomix King Plus Hand Blender,250W,800ml multi-purpose jar,500ml Chopper",2287.28,1347.45,41,228728
278,"Maharaja Whiteline Vivo Classic 1500 watt Electric Kettle,1.5 Litre (Metallic Black and Silver)",1066.94,651.69,39,106694
279,"Maharaja Whiteline Smart chef (FP-100) 600 W Food Processor (White, Red)",6778.81,4338.98,36,677881
280,"Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)",4321.18,3295.76,24,432118
281,"Pigeon Sirius Emergency 360 Degree Rechargeable Lantern with 1600 mAH and 8 Hours Backup,(Red)",1055.08,634.74,40,105508
282,"Pigeon Sunny Kisaan Torch (Multicolor, 33 cm, Rechargeable)",843.22,473.72,44,84322
283,"Pigeon LED Torch (with 2AA Batteries) Diva Black",127.11,76.27,40,12711
284,"Pigeon LED Torch (with 2AA Batteries) Diva Red",127.11,76.27,40,12711
285,"Pigeon LED Torch (with 2AA Batteries) Diva Green",127.11,76.27,40,12711
286,"Pigeon Lumino LED Emergency Rechargeable Lamp with 1600 mAH and 50 Hours Backup",741.52,550.84,26,74152
287,"Pigeon Vega Led Emergency Rechargeable Lamp with 900 mAH and 4 Hours Backup,White,Medium",444.91,287.28,35,44491
288,"Pigeon Stainless Steel Kitchen Knives Set, 3-Pieces, Black Color",461.86,186.44,60,46186
289,"Pigeon Brio Tri-Ply Stainless Steel Induction Base Pressure Cooker 5 Litre Outer Lid,Grey",3031.25,1561.6,48,303125
290,"Pigeon Dhruv Shine 2 in 1 Desk and Torch Emergency Lamp with 1200 mAh and 8 Hours Backup (White, Pack of 1, Plastic)",461.86,295.76,36,46186
291,"Pigeon Equino LED Emergency Rechargeable Lamp with 1600 mAH and 50 Hours Backup (Blue)",1038.13,733.05,29,103813
292,"Pigeon Casserole Royal Serving Pot 2.5 Ltr",1334.82,727.67,45,133482
293,"Pigeon Casserole Royal Serving Pot 3.5 Ltr",1691.96,927.67,45,169196
294,"Pigeon Long Lasting Cast Iron Grill Pan, 250mm Non-Stick, - Black",2272.32,1312.5,42,227232
295,"Pigeon Cast Iron Flat Tawa, 280MM",1245.53,766.96,38,124553
296,"Nelkon Stylo 1Ltr Induction Bottom Pressure Cooker (Stainless Steel)",1464.28,758.03,48,146428
297,"Nelkon Swera 2 Ltr Induction Bottom Pressure Cooker &amp; Pressure Pan (Stainless Steel)",2187.5,1204.46,45,218750
